NAAC,Current course,upskill,course_hs,Shares country_hs,ranking,salary
A,BE in others,Art,Economics,CANADA,197,41300
A++,B.Sc,Art,Economics,CANADA,61,52400
A+,BA,IT,none,UK,189,39100
B,PG in datascience,Datascience,none,UK,180,40500
B++,BE in others,Finance,none,GERMANY,70,50000
A+,CA,Finance,none,US,49,54100
A+,PG in finance,IT,Economics,CANADA,146,47400
C,BA,Finance,others,OTHER ASIAN COUNTRY,147,42800
C,BA,Datascience,IT,US,49,62600
A++,BE in others,IT,IT,GERMANY,123,51700
B,PG in finance,Datascience,Engineering,none,26,58400
A,BCom,Art,Economics,US,8,62200
B++,CA,none,IT,UK,190,39500
B+,BE in Datascience,IT,IT,none,6,61400
C,BA,Art,none,INDIA,122,48800
B+,B.Sc,Datascience,Engineering,UK,183,41700
A+,PG in HR,Art,Finance,OTHER EUROPIAN COUNTRY,32,58800
A,BE in Datascience,Art,Engineering,US,158,50200
A++,PG in HR,Datascience,Finance,UK,153,48700
B++,"BE in cse,electronics,IT,Telecom",Art,IT,INDIA,35,63000
B+,CA,IT,none,OTHER ASIAN COUNTRY,182,38300
A+,PG in datascience,Art,IT,none,98,51200
D,BCom,Datascience,none,none,188,34700
B++,BA,none,IT,OTHER ASIAN COUNTRY,45,53500
B+,BCom,none,Finance,none,180,32000
A++,PG in finance,Finance,Management,none,75,50500
C,BCom,Art,Economics,US,143,48700
B+,BE in Datascience,Finance,IT,US,182,47800
A,BA,Datascience,Engineering,US,116,54900
A,CA,Finance,Economics,INDIA,65,58500
NO GRADE,CA,Managment,Engineering,OTHER ASIAN COUNTRY,77,54300
A+,PG in HR,none,Finance,INDIA,108,50200
NO GRADE,PG in finance,Finance,Finance,OTHER EUROPIAN COUNTRY,169,41100
A+,BCom,none,Engineering,OTHER ASIAN COUNTRY,102,43800
B++,PG in HR,Datascience,IT,GERMANY,94,59600
A+,BCom,Datascience,Engineering,AUSTRALIA,62,58300
C,PG in datascience,Finance,none,UK,19,54600
A+,B.Sc,Datascience,IT,US,146,48900
B+,PG in Marketing,Managment,Economics,INDIA,40,62500
D,BE in others,Managment,others,OTHER EUROPIAN COUNTRY,41,53400
A,CA,Managment,Engineering,AUSTRALIA,49,61600
NO GRADE,PG in datascience,IT,others,AUSTRALIA,188,43700
NO GRADE,CA,IT,IT,INDIA,48,61700
A++,BE in Datascience,IT,Management,US,64,58600
A+,BE in Datascience,IT,Engineering,GERMANY,54,59600
A+,"BE in cse,electronics,IT,Telecom",Managment,Finance,GERMANY,40,58000
NO GRADE,"BE in cse,electronics,IT,Telecom",Finance,none,CANADA,95,46000
B++,PG in datascience,Finance,Engineering,OTHER ASIAN COUNTRY,73,53200
C,BA,Datascience,IT,AUSTRALIA,157,52800
D,BE in Datascience,Finance,IT,none,17,59300
C,BE in Datascience,IT,Engineering,US,149,51100
NO GRADE,PG in datascience,Art,none,INDIA,98,50700
A++,BE in Datascience,IT,Finance,none,160,42500
A+,PG in datascience,Art,Economics,INDIA,146,51400
A,PG in HR,IT,Management,UK,118,52700
A+,B.Sc,none,none,CANADA,184,29600
B++,PG in finance,IT,Economics,AUSTRALIA,57,60800
B+,BCom,Art,Management,UK,7,58300
B+,PG in HR,Art,Management,OTHER EUROPIAN COUNTRY,39,59600
A,B.Sc,Finance,Management,AUSTRALIA,186,41900
B,BE in others,none,none,INDIA,62,48300
B++,PG in HR,none,Economics,INDIA,88,55200
A++,PG in finance,Art,none,INDIA,105,50000
B++,PG in datascience,Finance,Management,AUSTRALIA,16,62400
A,BE in Datascience,Art,Engineering,INDIA,162,50300
D,B.Sc,Art,IT,UK,162,43800
A++,PG in datascience,Finance,IT,OTHER ASIAN COUNTRY,96,51900
D,PG in Marketing,none,others,none,187,32800
B,BA,Managment,IT,OTHER EUROPIAN COUNTRY,164,47100
B++,PG in datascience,Art,others,OTHER EUROPIAN COUNTRY,181,39900
A+,PG in HR,Managment,Finance,UK,93,54200
B++,BA,Datascience,Finance,AUSTRALIA,38,61200
B++,PG in finance,Managment,Engineering,INDIA,141,51900
C,CA,Managment,Finance,OTHER EUROPIAN COUNTRY,174,42100
NO GRADE,PG in datascience,Art,IT,CANADA,27,59800
C,PG in HR,Finance,Engineering,GERMANY,77,58300
A++,B.Sc,Art,IT,OTHER EUROPIAN COUNTRY,52,53800
D,BCom,Managment,Management,OTHER EUROPIAN COUNTRY,201,38400
B,B.Sc,none,others,OTHER ASIAN COUNTRY,191,30400
A++,CA,Managment,Management,none,151,44400
NO GRADE,BE in Datascience,Datascience,Economics,UK,9,64100
B++,BA,Managment,others,AUSTRALIA,147,48800
B,PG in datascience,none,IT,US,163,44700
NO GRADE,BE in Datascience,Art,Economics,AUSTRALIA,54,62100
D,PG in datascience,none,others,INDIA,12,55800
D,"BE in cse,electronics,IT,Telecom",Art,others,OTHER EUROPIAN COUNTRY,11,56900
A,PG in Marketing,Datascience,Finance,OTHER ASIAN COUNTRY,163,43700
A,PG in finance,Managment,Engineering,OTHER ASIAN COUNTRY,58,56200
B,CA,none,others,OTHER EUROPIAN COUNTRY,124,40600
C,PG in datascience,Art,Economics,US,176,47900
C,BA,Art,none,UK,58,52200
B+,BE in Datascience,none,Finance,UK,21,53900
B++,BE in Datascience,Finance,IT,OTHER ASIAN COUNTRY,84,54100
B+,PG in datascience,Finance,Engineering,UK,19,59600
B++,B.Sc,none,none,US,79,43600
D,BA,none,none,INDIA,20,54000
B+,BA,Art,Finance,GERMANY,19,60100
NO GRADE,PG in datascience,none,Economics,INDIA,37,57300
B+,PG in finance,IT,Management,GERMANY,94,53600
C,PG in Marketing,Datascience,Management,none,95,50500
A,CA,none,Economics,CANADA,158,41200
C,PG in datascience,Datascience,Economics,UK,65,57500
A+,B.Sc,IT,others,OTHER ASIAN COUNTRY,2,54300
B++,PG in finance,none,others,OTHER ASIAN COUNTRY,155,37500
B++,CA,Finance,Economics,none,106,48900
NO GRADE,PG in Marketing,Datascience,Management,UK,180,44500
D,"BE in cse,electronics,IT,Telecom",Art,IT,GERMANY,146,50400
D,BCom,Art,Finance,GERMANY,196,39400
A,B.Sc,none,Economics,UK,91,45400
B,PG in finance,Managment,IT,none,58,55700
B+,B.Sc,Managment,none,UK,7,53800
B++,PG in Marketing,Art,Management,GERMANY,31,59900
B++,PG in datascience,Datascience,Finance,OTHER EUROPIAN COUNTRY,145,45500
D,CA,Managment,none,AUSTRALIA,132,48300
A,PG in finance,Datascience,Finance,none,160,42500
C,PG in HR,IT,IT,CANADA,104,55100
NO GRADE,BE in Datascience,Managment,IT,OTHER EUROPIAN COUNTRY,196,44400
NO GRADE,PG in finance,none,IT,GERMANY,191,40900
A,PG in Marketing,Datascience,others,none,200,37500
NO GRADE,BCom,none,Management,OTHER EUROPIAN COUNTRY,160,37000
C,BA,IT,Finance,AUSTRALIA,49,59100
D,BE in Datascience,none,IT,none,142,42800
D,BA,none,none,US,23,53200
C,BA,Art,none,CANADA,18,55200
A+,PG in HR,Finance,IT,OTHER EUROPIAN COUNTRY,162,48300
A+,B.Sc,Datascience,Engineering,CANADA,30,56000
D,BE in others,IT,Finance,GERMANY,85,52000
B++,PG in HR,Finance,others,UK,13,59700
B,CA,Managment,others,OTHER EUROPIAN COUNTRY,182,40300
C,PG in HR,Art,Economics,US,122,56300
B,"BE in cse,electronics,IT,Telecom",Art,IT,UK,123,51200
A+,PG in datascience,Datascience,Management,GERMANY,185,45500
A+,BCom,Finance,others,AUSTRALIA,191,39900
A,B.Sc,Datascience,Engineering,INDIA,184,44600
A+,BE in Datascience,Finance,others,OTHER ASIAN COUNTRY,91,48900
C,BCom,Datascience,Finance,US,55,55500
A++,BA,Finance,Engineering,UK,91,52900
B+,CA,Managment,others,GERMANY,100,51000
B,PG in Marketing,IT,others,OTHER ASIAN COUNTRY,142,43800
A++,PG in Marketing,IT,Economics,US,22,63300
NO GRADE,BE in others,Finance,none,US,113,46700
A++,BCom,Finance,Finance,none,154,38600
C,PG in finance,Managment,Finance,AUSTRALIA,162,47800
B++,BE in others,Managment,IT,OTHER EUROPIAN COUNTRY,69,55100
B++,PG in finance,Art,Management,US,150,49000
B++,PG in HR,Managment,Finance,GERMANY,79,57100
D,B.Sc,IT,Management,US,13,59200
B++,"BE in cse,electronics,IT,Telecom",Datascience,Engineering,GERMANY,126,52400
A,PG in HR,none,Management,OTHER EUROPIAN COUNTRY,123,46200
A,PG in Marketing,IT,Management,AUSTRALIA,131,51900
B,BCom,none,IT,AUSTRALIA,5,59000
C,PG in Marketing,none,Management,GERMANY,173,40700
A,BA,Art,none,OTHER EUROPIAN COUNTRY,115,45500
A++,BE in others,Art,IT,AUSTRALIA,57,60300
B+,PG in Marketing,Art,others,none,161,40400
B+,BE in others,Datascience,Management,OTHER EUROPIAN COUNTRY,46,55900
C,CA,IT,Engineering,UK,22,60300
A+,PG in finance,Art,Engineering,OTHER EUROPIAN COUNTRY,86,52900
B,PG in finance,IT,Economics,INDIA,109,55100
B++,BCom,Art,none,none,62,46300
B++,BE in others,IT,Economics,INDIA,90,56000
B,PG in Marketing,IT,Management,OTHER EUROPIAN COUNTRY,60,54500
A++,BA,none,Economics,US,56,55400
B++,BCom,none,Finance,none,161,33900
B+,BA,Managment,Management,CANADA,31,58400
D,PG in finance,Finance,Management,UK,54,55100
A++,PG in Marketing,none,Management,GERMANY,50,53000
A+,"BE in cse,electronics,IT,Telecom",Managment,IT,OTHER EUROPIAN COUNTRY,121,50900
B++,BE in Datascience,Managment,Finance,none,109,48100
B++,B.Sc,Art,Engineering,UK,169,42100
A+,PG in Marketing,IT,Finance,US,138,48700
C,BE in Datascience,IT,IT,INDIA,143,53200
A++,PG in HR,Art,IT,INDIA,34,66100
A++,"BE in cse,electronics,IT,Telecom",none,IT,CANADA,58,51700
A++,PG in finance,Finance,Economics,UK,29,59100
B,BE in Datascience,Datascience,IT,OTHER ASIAN COUNTRY,155,49000
NO GRADE,B.Sc,Datascience,others,OTHER ASIAN COUNTRY,136,41900
A++,BE in Datascience,IT,others,AUSTRALIA,29,60600
A,"BE in cse,electronics,IT,Telecom",Datascience,others,OTHER ASIAN COUNTRY,171,41900
NO GRADE,BCom,none,Management,none,51,46400
A+,PG in datascience,Managment,none,UK,159,42100
A+,BCom,Managment,others,CANADA,96,46400
D,PG in Marketing,Finance,Management,OTHER ASIAN COUNTRY,196,39900
A++,B.Sc,IT,others,OTHER EUROPIAN COUNTRY,34,51100
B++,PG in HR,IT,none,CANADA,102,49300
D,BE in Datascience,Managment,Engineering,INDIA,146,52400
A+,BE in Datascience,IT,Engineering,OTHER EUROPIAN COUNTRY,89,53600
NO GRADE,BE in Datascience,none,IT,OTHER EUROPIAN COUNTRY,83,50200
NO GRADE,PG in datascience,none,Finance,OTHER ASIAN COUNTRY,112,42800
NO GRADE,B.Sc,Finance,others,GERMANY,170,39000
C,BE in Datascience,Art,Economics,US,173,49200
B++,BE in others,Art,Engineering,none,53,53700
D,B.Sc,Finance,Finance,INDIA,114,47100
NO GRADE,BCom,Finance,Finance,INDIA,195,40000
B+,BE in others,Finance,none,INDIA,120,46500
B+,PG in Marketing,Art,IT,UK,51,58400
B+,BCom,none,Finance,UK,22,50300
B,"BE in cse,electronics,IT,Telecom",none,Management,US,169,42100
A+,BCom,IT,Economics,US,69,56100
B,BE in Datascience,Datascience,others,OTHER ASIAN COUNTRY,185,41500
B++,PG in HR,none,IT,AUSTRALIA,72,57800
A,BCom,Art,Economics,UK,45,56000
B+,PG in HR,Art,others,none,16,57900
A+,CA,Datascience,Management,GERMANY,121,51900
B++,BA,Finance,Engineering,OTHER EUROPIAN COUNTRY,7,60300
A+,PG in Marketing,none,others,INDIA,5,56500
D,BCom,Managment,others,OTHER EUROPIAN COUNTRY,19,54100
D,BA,none,Economics,OTHER ASIAN COUNTRY,89,48600
A+,"BE in cse,electronics,IT,Telecom",Art,Engineering,OTHER EUROPIAN COUNTRY,95,52000
A++,BCom,Finance,others,GERMANY,74,49600
NO GRADE,CA,none,Engineering,GERMANY,99,49100
NO GRADE,PG in finance,Managment,others,US,14,60600
C,B.Sc,Art,Management,OTHER EUROPIAN COUNTRY,30,54000
B+,"BE in cse,electronics,IT,Telecom",Datascience,Engineering,UK,155,48000
A+,PG in Marketing,Art,IT,OTHER EUROPIAN COUNTRY,187,43800
A+,BE in others,Datascience,Finance,GERMANY,67,54800
D,"BE in cse,electronics,IT,Telecom",none,none,none,47,45300
D,BCom,Art,none,none,37,48800
A+,BE in Datascience,Art,Economics,GERMANY,170,48500
NO GRADE,"BE in cse,electronics,IT,Telecom",Art,Finance,OTHER ASIAN COUNTRY,170,42000
A+,BA,IT,none,OTHER EUROPIAN COUNTRY,148,42200
B++,BA,Art,others,OTHER EUROPIAN COUNTRY,138,44700
A++,"BE in cse,electronics,IT,Telecom",Finance,Management,INDIA,119,51600
D,BE in Datascience,Finance,Finance,UK,48,55200
B++,PG in finance,Managment,none,CANADA,98,47200
B,BE in Datascience,none,IT,CANADA,40,54500
NO GRADE,B.Sc,Datascience,Economics,OTHER EUROPIAN COUNTRY,56,53900
B++,BA,IT,Management,OTHER ASIAN COUNTRY,73,53700
B+,PG in Marketing,none,Finance,US,85,49000
NO GRADE,PG in HR,Datascience,Management,GERMANY,51,61900
C,PG in HR,Datascience,Economics,INDIA,8,69200
C,"BE in cse,electronics,IT,Telecom",IT,IT,none,76,53400
A++,BE in Datascience,Managment,IT,UK,129,52100
NO GRADE,CA,Datascience,Management,OTHER EUROPIAN COUNTRY,88,52700
A+,BE in Datascience,none,IT,OTHER EUROPIAN COUNTRY,22,56300
C,"BE in cse,electronics,IT,Telecom",IT,IT,none,110,50000
NO GRADE,PG in datascience,IT,IT,OTHER EUROPIAN COUNTRY,83,54200
C,PG in HR,IT,others,CANADA,32,57800
A+,PG in HR,IT,none,CANADA,119,47600
B,CA,Datascience,Economics,AUSTRALIA,23,65200
C,BE in Datascience,Managment,Finance,GERMANY,17,61300
B+,"BE in cse,electronics,IT,Telecom",Managment,IT,INDIA,158,51200
A+,"BE in cse,electronics,IT,Telecom",none,Finance,US,16,55900
NO GRADE,PG in Marketing,Managment,IT,OTHER ASIAN COUNTRY,168,46200
B+,BCom,Art,Finance,OTHER ASIAN COUNTRY,152,41300
D,CA,none,Finance,none,129,39600
NO GRADE,BCom,none,Finance,OTHER EUROPIAN COUNTRY,38,47700
A++,BA,IT,Economics,INDIA,13,65200
B++,PG in datascience,Managment,Engineering,UK,165,46500
NO GRADE,PG in Marketing,Art,none,GERMANY,100,49000
A++,CA,Datascience,IT,GERMANY,98,56200
A+,PG in datascience,none,Management,US,92,49800
D,B.Sc,Art,Economics,AUSTRALIA,91,53900
NO GRADE,BA,Datascience,Finance,none,179,41100
C,PG in datascience,IT,none,none,9,54100
B+,CA,Managment,IT,OTHER ASIAN COUNTRY,201,42900
C,PG in HR,Datascience,Economics,OTHER ASIAN COUNTRY,16,64400
C,PG in finance,Managment,Economics,OTHER ASIAN COUNTRY,14,61100
B+,BCom,Datascience,none,GERMANY,138,43700
D,"BE in cse,electronics,IT,Telecom",Datascience,Economics,OTHER ASIAN COUNTRY,52,57800
D,BA,Finance,Management,US,81,55400
D,B.Sc,IT,others,OTHER EUROPIAN COUNTRY,97,44800
D,BE in others,Datascience,others,CANADA,69,51100
C,BCom,Datascience,Economics,OTHER EUROPIAN COUNTRY,72,53300
A+,BA,IT,Management,none,64,53100
A+,CA,Art,Management,OTHER EUROPIAN COUNTRY,101,50400
A,BCom,Finance,Engineering,INDIA,163,45700
C,BE in Datascience,Finance,none,CANADA,158,40700
B++,PG in datascience,Managment,Finance,INDIA,175,46000
NO GRADE,BA,Datascience,Management,GERMANY,117,52800
B+,BE in Datascience,none,Economics,UK,79,51100
A,B.Sc,Finance,Engineering,GERMANY,161,43400
B++,BA,none,Economics,US,33,57700
A,PG in Marketing,IT,Engineering,OTHER EUROPIAN COUNTRY,4,61100
A++,BE in Datascience,IT,Finance,UK,98,51200
A+,BCom,Art,Management,INDIA,135,48500
A++,BA,Finance,none,AUSTRALIA,57,54800
A+,CA,none,Finance,none,34,49100
D,B.Sc,none,others,GERMANY,187,33300
B+,CA,Managment,none,GERMANY,124,47100
B+,BCom,Finance,others,OTHER ASIAN COUNTRY,101,44400
A+,PG in HR,IT,Finance,none,125,48000
A,PG in Marketing,Datascience,Economics,CANADA,137,49300
C,PG in finance,Managment,Management,CANADA,98,51200
A++,PG in finance,none,none,GERMANY,36,50400
A+,BE in others,Datascience,Engineering,GERMANY,29,61100
B+,"BE in cse,electronics,IT,Telecom",Datascience,Engineering,OTHER EUROPIAN COUNTRY,61,56400
B++,"BE in cse,electronics,IT,Telecom",Art,IT,US,11,64900
A++,BA,Managment,none,US,41,56900
B+,PG in datascience,IT,Management,GERMANY,132,49800
A+,PG in HR,IT,Management,US,74,59600
NO GRADE,BE in Datascience,none,Management,CANADA,161,40400
B++,BA,Datascience,IT,GERMANY,92,57300
C,BCom,none,Management,UK,17,52300
B+,CA,Finance,Engineering,none,187,40300
B+,CA,Finance,Management,OTHER EUROPIAN COUNTRY,134,46100
A,PG in HR,Datascience,Economics,CANADA,163,49700
B++,B.Sc,Managment,Engineering,US,147,47300
A,PG in finance,Finance,Management,US,80,55000
C,PG in datascience,Datascience,Engineering,OTHER ASIAN COUNTRY,75,55000
A++,B.Sc,Art,others,AUSTRALIA,5,58500
D,BA,IT,Finance,none,154,42600
D,"BE in cse,electronics,IT,Telecom",IT,Economics,OTHER ASIAN COUNTRY,83,53700
D,"BE in cse,electronics,IT,Telecom",none,others,GERMANY,166,38900
C,"BE in cse,electronics,IT,Telecom",none,Engineering,UK,88,48700
B+,PG in Marketing,Art,Finance,CANADA,133,45700
B++,BA,IT,IT,UK,11,62900
A+,CA,IT,Engineering,INDIA,85,57000
B++,PG in Marketing,IT,Economics,GERMANY,169,47600
A,BCom,Managment,IT,AUSTRALIA,201,44900
A,CA,Datascience,Economics,OTHER ASIAN COUNTRY,131,49900
B++,PG in finance,Finance,Economics,INDIA,110,54000
NO GRADE,BE in Datascience,Datascience,Finance,AUSTRALIA,110,54500
NO GRADE,BE in Datascience,Datascience,IT,UK,198,45700
B,BE in Datascience,Managment,Economics,US,104,56600
A++,PG in datascience,none,Finance,INDIA,43,53700
A+,BE in Datascience,Datascience,none,OTHER EUROPIAN COUNTRY,106,47900
A++,"BE in cse,electronics,IT,Telecom",Art,Economics,AUSTRALIA,41,62400
NO GRADE,BA,IT,others,US,160,46000
A++,BE in Datascience,Managment,Engineering,OTHER EUROPIAN COUNTRY,180,45000
D,PG in datascience,none,none,OTHER EUROPIAN COUNTRY,102,41300
D,PG in HR,Managment,Engineering,AUSTRALIA,135,56000
A++,PG in Marketing,Datascience,others,OTHER EUROPIAN COUNTRY,127,46300
A+,PG in datascience,IT,Engineering,OTHER ASIAN COUNTRY,63,55200
B++,PG in Marketing,Managment,Management,UK,100,52000
C,B.Sc,Finance,Finance,CANADA,108,43700
C,CA,none,IT,GERMANY,117,48300
A+,BCom,Datascience,none,GERMANY,27,54800
B,"BE in cse,electronics,IT,Telecom",Finance,Finance,US,115,50000
B++,B.Sc,IT,none,CANADA,177,35300
B++,CA,none,Finance,OTHER ASIAN COUNTRY,149,39100
B,CA,Art,Finance,none,41,53400
B+,PG in HR,Finance,Economics,GERMANY,146,51900
C,PG in finance,IT,others,OTHER EUROPIAN COUNTRY,97,48300
D,B.Sc,Art,none,GERMANY,74,48100
A,PG in HR,none,IT,CANADA,22,58300
B++,PG in HR,Art,Management,OTHER ASIAN COUNTRY,23,61200
C,BCom,Datascience,none,US,132,45300
B+,PG in HR,IT,Economics,OTHER EUROPIAN COUNTRY,125,52500
B+,BCom,none,Finance,OTHER EUROPIAN COUNTRY,80,43500
D,PG in Marketing,Art,Finance,UK,78,52200
B++,B.Sc,Managment,Engineering,INDIA,120,50500
A,B.Sc,none,others,GERMANY,148,37200
C,PG in HR,Art,none,OTHER EUROPIAN COUNTRY,26,56900
D,PG in datascience,none,Finance,OTHER ASIAN COUNTRY,78,46200
A,"BE in cse,electronics,IT,Telecom",Managment,IT,OTHER EUROPIAN COUNTRY,113,51700
A+,BA,Finance,others,OTHER ASIAN COUNTRY,80,49500
NO GRADE,CA,none,IT,OTHER ASIAN COUNTRY,130,44500
C,B.Sc,Datascience,Management,OTHER EUROPIAN COUNTRY,156,42400
A+,PG in finance,Art,Management,OTHER EUROPIAN COUNTRY,14,59100
B++,BE in Datascience,Managment,Finance,INDIA,128,51700
A+,BE in Datascience,Art,Management,OTHER ASIAN COUNTRY,69,54600
NO GRADE,PG in datascience,Managment,IT,US,180,48500
C,PG in HR,Managment,Finance,CANADA,3,62200
B,PG in HR,Art,Finance,UK,133,49700
A,PG in datascience,Managment,IT,INDIA,78,59200
NO GRADE,BE in Datascience,IT,none,none,197,36300
B+,BE in Datascience,none,IT,OTHER EUROPIAN COUNTRY,79,50600
B+,"BE in cse,electronics,IT,Telecom",none,Management,OTHER ASIAN COUNTRY,33,52200
A+,BCom,Managment,Engineering,CANADA,197,39800
B,"BE in cse,electronics,IT,Telecom",Art,others,GERMANY,62,54300
NO GRADE,PG in finance,IT,Management,OTHER ASIAN COUNTRY,121,48400
A,PG in Marketing,IT,Management,INDIA,86,55900
B,BCom,IT,Economics,OTHER ASIAN COUNTRY,164,43100
A+,BE in Datascience,Datascience,Economics,US,135,54000
D,BE in others,Managment,others,none,181,37900
C,BCom,IT,none,OTHER EUROPIAN COUNTRY,161,37900
NO GRADE,PG in HR,Finance,Finance,UK,83,53700
C,PG in finance,Art,others,AUSTRALIA,113,51200
D,PG in finance,Art,Finance,OTHER ASIAN COUNTRY,1,58900
C,BA,Finance,Management,GERMANY,81,54400
C,B.Sc,IT,others,GERMANY,174,39600
A,PG in Marketing,Art,Management,AUSTRALIA,19,63100
A++,BE in Datascience,Datascience,none,AUSTRALIA,18,61200
NO GRADE,PG in datascience,Managment,Finance,INDIA,182,45300
B++,PG in Marketing,Managment,Management,INDIA,144,50600
A,BE in Datascience,Art,IT,GERMANY,150,51000
A,BE in Datascience,Managment,others,none,183,39700
A++,CA,Datascience,Engineering,US,61,59900
NO GRADE,BCom,Art,Management,GERMANY,153,45200
B+,PG in datascience,IT,none,UK,161,41400
B++,BE in Datascience,IT,none,AUSTRALIA,133,48700
B++,"BE in cse,electronics,IT,Telecom",Finance,others,GERMANY,200,39500
NO GRADE,PG in HR,Finance,Finance,none,63,53200
B++,"BE in cse,electronics,IT,Telecom",none,IT,OTHER EUROPIAN COUNTRY,96,47900
D,PG in datascience,IT,Management,INDIA,32,61300
NO GRADE,"BE in cse,electronics,IT,Telecom",Managment,others,CANADA,75,51000
A+,BCom,Finance,others,OTHER ASIAN COUNTRY,159,38600
A++,CA,Managment,Management,US,144,50100
C,CA,Finance,Finance,OTHER ASIAN COUNTRY,187,39300
B,PG in Marketing,Finance,IT,OTHER EUROPIAN COUNTRY,168,44700
B++,PG in Marketing,none,IT,US,116,49400
A,PG in datascience,Datascience,Engineering,GERMANY,77,57300
B++,CA,none,Engineering,AUSTRALIA,195,41500
A,"BE in cse,electronics,IT,Telecom",Datascience,IT,none,139,48100
A+,"BE in cse,electronics,IT,Telecom",IT,Management,UK,14,60100
D,BE in others,none,Engineering,OTHER EUROPIAN COUNTRY,116,43900
A+,B.Sc,none,Engineering,UK,133,40700
A,"BE in cse,electronics,IT,Telecom",none,others,CANADA,4,52600
A+,BE in Datascience,none,Management,CANADA,31,53400
B++,"BE in cse,electronics,IT,Telecom",Art,Management,UK,43,57200
A+,BE in Datascience,Art,IT,CANADA,7,62800
A,PG in finance,Datascience,others,OTHER EUROPIAN COUNTRY,117,47300
B++,BCom,IT,Economics,GERMANY,23,59700
A+,BE in others,Datascience,Economics,AUSTRALIA,162,50300
A,PG in finance,IT,Finance,OTHER EUROPIAN COUNTRY,113,47700
B++,PG in HR,Datascience,others,INDIA,126,53400
A+,PG in datascience,Finance,Economics,OTHER ASIAN COUNTRY,61,54900
B,CA,none,others,CANADA,86,44400
A,PG in finance,Managment,others,OTHER ASIAN COUNTRY,173,41200
A+,BE in Datascience,Managment,IT,GERMANY,168,49700
C,B.Sc,Finance,others,UK,55,49000
B++,"BE in cse,electronics,IT,Telecom",IT,none,GERMANY,188,40200
A+,BE in Datascience,Managment,Management,OTHER ASIAN COUNTRY,94,52600
D,PG in finance,IT,others,OTHER EUROPIAN COUNTRY,151,42900
B,CA,Datascience,Economics,none,185,43000
A++,PG in Marketing,Managment,Management,OTHER ASIAN COUNTRY,1,60900
A++,BCom,Managment,Management,none,80,49000
A++,BCom,Managment,Finance,AUSTRALIA,10,60500
A+,PG in HR,none,Engineering,CANADA,2,59300
B++,BE in Datascience,Managment,IT,none,23,60200
B+,BA,Art,Management,AUSTRALIA,198,45700
B++,PG in finance,Finance,none,OTHER ASIAN COUNTRY,118,43700
B,BE in others,Art,Economics,US,47,59800
C,CA,Art,none,US,88,51200
NO GRADE,CA,IT,none,AUSTRALIA,37,57300
D,BE in Datascience,Finance,none,AUSTRALIA,181,42900
NO GRADE,BCom,IT,Economics,US,145,48500
A++,PG in finance,Finance,IT,OTHER ASIAN COUNTRY,176,43900
D,PG in Marketing,IT,none,UK,40,53500
B++,PG in finance,Art,Engineering,INDIA,184,47100
B,PG in Marketing,IT,none,US,128,47200
A,"BE in cse,electronics,IT,Telecom",Finance,Engineering,none,29,56100
B,PG in HR,Art,IT,INDIA,85,61000
B++,CA,none,Economics,GERMANY,15,58000
NO GRADE,B.Sc,Managment,IT,none,181,39900
C,PG in HR,Managment,Finance,CANADA,36,58900
A+,PG in HR,IT,others,US,66,57900
C,"BE in cse,electronics,IT,Telecom",Finance,Engineering,GERMANY,158,47200
B,BE in others,Datascience,others,GERMANY,11,59400
D,B.Sc,IT,IT,OTHER EUROPIAN COUNTRY,4,58600
B,PG in HR,Art,Management,OTHER ASIAN COUNTRY,155,48000
NO GRADE,B.Sc,Art,IT,US,51,57400
B,BA,Managment,none,UK,109,47600
A+,B.Sc,none,none,INDIA,182,33800
B+,"BE in cse,electronics,IT,Telecom",IT,IT,OTHER ASIAN COUNTRY,61,56400
A,BCom,Datascience,Management,AUSTRALIA,2,63300
A+,PG in Marketing,Managment,none,GERMANY,157,43800
C,"BE in cse,electronics,IT,Telecom",IT,others,none,104,46100
A++,BA,Datascience,IT,INDIA,46,63400
NO GRADE,BCom,IT,none,GERMANY,151,41400
NO GRADE,PG in HR,Finance,Economics,GERMANY,95,57000
B+,CA,Managment,Economics,none,124,48600
B,BE in others,Managment,Economics,INDIA,54,60100
NO GRADE,BCom,Finance,IT,OTHER ASIAN COUNTRY,110,48000
C,"BE in cse,electronics,IT,Telecom",Managment,Management,none,43,55200
B+,BE in others,Finance,Economics,INDIA,69,57100
B,PG in Marketing,Datascience,IT,none,19,60100
NO GRADE,PG in finance,Finance,Economics,OTHER EUROPIAN COUNTRY,107,50300
B+,PG in finance,Managment,Management,AUSTRALIA,21,63400
NO GRADE,BA,IT,Engineering,CANADA,105,51500
A+,BCom,IT,Finance,OTHER EUROPIAN COUNTRY,56,50900
D,PG in finance,Finance,Engineering,OTHER EUROPIAN COUNTRY,56,54900
B,PG in datascience,Managment,others,CANADA,199,38600
B++,PG in finance,Art,IT,UK,48,58700
C,BA,Managment,none,OTHER EUROPIAN COUNTRY,91,48400
C,BE in others,Datascience,IT,OTHER EUROPIAN COUNTRY,143,48200
A,B.Sc,none,none,none,197,26800
B,BCom,IT,Management,OTHER EUROPIAN COUNTRY,45,53500
A,PG in HR,Managment,others,US,108,54200
A++,PG in Marketing,IT,Economics,OTHER ASIAN COUNTRY,139,48100
A++,CA,IT,Management,none,34,55600
B++,BCom,Finance,Engineering,US,10,60500
A++,PG in finance,Finance,others,INDIA,35,57500
